boot_id,seed_size,seeds,bifo_p10,bifo_enrich10,bifo_ndcg10,bifo_ap,bifo_mean_rank,rank_improvement,sf_p10,sf_ap,bifo_beats_sf_ap
615,20,"C1424981,C1539530,C1412384,C1540183,C1413381,C1423104,C1332121,C1539324,C2828415,C1334862,C1426741,C1416799,C1412071,C2829172,C1540023,C1333690,C1428781,C1419862,C1418560,C1412364",0.0,0.0,0.0,0.003892680195745439,2644.8,-1045.9500000000003,0.0,0.004052678766151582,0
744,20,"C1366623,C1414828,C1416912,C1538753,C1425036,C1416496,C1420649,C1412077,C1824724,C1417169,C1413146,C1428568,C1825010,C1418641,C1416783,C1419926,C1824756,C1425067,C1415050,C1412760",0.0,0.0,0.0,0.01187474301563973,1656.75,-445.8499999999999,0.0,0.010115239808834612,1
745,20,"C1422674,C1425407,C1427252,C1415079,C1366757,C1420652,C1421361,C1417250,C1416843,C1424279,C1417194,C1420076,C1415180,C1439345,C1412741,C1366475,C1414527,C1419239,C1417420,C1419778",0.0,0.0,0.0,0.00510900320225559,2198.45,-515.7999999999997,0.0,0.005054473032285814,1
746,20,"C1412167,C1418502,C1422830,C1420527,C3890123,C1419778,C1421226,C1415388,C1428184,C1417420,C1413200,C1413843,C1414269,C1426796,C1427487,C1425049,C1825603,C1416886,C1421944,C1864771",0.0,0.0,0.0,0.006289385461611627,1990.7,-503.29999999999995,0.0,0.005853208543163372,1
747,20,"C1424797,C1414862,C1412770,C1539798,C1366515,C1540116,C1419980,C1823599,C1418445,C1414917,C1424981,C1416902,C1425978,C1417834,C1823497,C1413500,C1540215,C1366509,C1420552,C1426077",0.0,0.0,0.0,0.00411287333933983,2534.95,-1018.0499999999997,0.0,0.004255629869858606,0
748,20,"C1413569,C1413607,C1415352,C1427704,C1539102,C1418445,C1539836,C1418605,C1366631,C1418438,C1416862,C1822764,C1418948,C1412375,C1825569,C1426196,C1540114,C1413061,C1456383,C1426667",0.0,0.0,0.0,0.014615389702446187,1521.95,-136.6500000000001,0.0,0.013060159675218893,1
749,20,"C1333216,C1823599,C1428790,C1413603,C0376571,C1334862,C1425194,C1428184,C1823469,C1823780,C1413862,C1420694,C1428797,C1412364,C1416920,C1823272,C1413778,C1836722,C1540183,C1824808",0.0,0.0,0.0,0.004804869882772548,2367.9,-815.5500000000002,0.0,0.005338910730795715,0
750,20,"C1539586,C1417609,C1419872,C1428343,C1428365,C1537563,C1418943,C1425933,C1539331,C1417925,C1416379,C1332121,C1539362,C1425035,C1412384,C1412179,C1333216,C1415632,C1417038,C1426706",0.0,0.0,0.0,0.0034856379086748005,2825.6,-1189.05,0.0,0.003922545993104762,0
751,20,"C1419330,C1420713,C1417649,C1419857,C1420567,C1422095,C1539537,C1416886,C1424612,C1428967,C1428876,C1420313,C1823083,C1824975,C1825964,C1824808,C1413701,C1540187,C1539371,C1420005",0.0,0.0,0.0,0.0075719254030387735,2131.8,-583.1500000000001,0.0,0.009034505164757045,0
1072,30,"C1417217,C1418887,C1416496,C1419330,C1334112,C1428361,C1425653,C1419264,C1422473,C1334513,C1823263,C1428343,C1539798,C1427953,C1428821,C1539133,C1418575,C1539607,C2681644,C1415558,C1417756,C1366475,C1415504,C1412689,C0879392,C1421998,C1332001,C1419288,C1423104,C1418425",0.0,0.0,0.0,0.00569655328315693,2536.15,-839.7,0.0,0.0040264384428362835,1
1073,30,"C1332409,C1420228,C2681556,C1825667,C1414040,C1414953,C1418650,C1823190,C1413381,C1823469,C1540187,C1413064,C1428492,C1412291,C1419980,C1417896,C1415462,C1422773,C1415504,C1425962,C1428820,C1413365,C1333568,C1419181,C1428130,C1414328,C1843919,C1824106,C2681644,C1415195",0.0,0.0,0.0,0.018351235301938513,1586.45,-134.35000000000014,0.1,0.04367001548250113,0
