rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
733	REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	MSIGDB:M27104	MSIGDB	17	5.993944e-07	True	1.649	0.2892	1.473	0.1847	False	AGT;ACE2;ACE	1.0000;0.9995;0.9992	AGT;ACE2;ACE	AGT;ACE2;ACE	local:n=17;max=2.16;p75=-0.46;p50=-0.46;p25=-0.46	global:n=17;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
734	REACTOME_MITOTIC_PROPHASE	MSIGDB:M27660	MSIGDB	82	5.989898e-07	True	-1.783	1.0000	-2.624	1.0000	False	MAPK1;EMD;CDK1;LPIN2;LMNB1;NUP214;LPIN1;NUP188;NUP205;SMC2;NCAPD3	1.0000;0.9964;0.9958;0.9957;0.9954;0.9952;0.9949;0.9949;0.9949;0.9949;0.9949	MAPK1;EMD;CDK1;LPIN2;LMNB1;NUP214;LPIN1;NUP188;NUP205;SMC2;NCAPD3	MAPK1;EMD;CDK1;LPIN2;LMNB1;NUP214;LPIN1;NUP188;NUP205;SMC2;NCAPD3	local:n=82;max=2.55;p75=-0.39;p50=-0.39;p25=-0.39	global:n=82;max=4.58;p75=-0.22;p50=-0.22;p25=-0.22
735	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	MSIGDB:M27013	MSIGDB	99	5.984259e-07	True	-2.038	1.0000	-6.281	1.0000	False	MAPK1;MYD88;IRAK1;IRAK4;IRAK3;MAP2K7;BTK;SFTPA2;NOD2	1.0000;0.9984;0.9975;0.9970;0.9961;0.9957;0.9956;0.9954;0.9952	MAPK1;MYD88;IRAK1;IRAK4;IRAK3;MAP2K7;BTK;SFTPA2;NOD2	MAPK1;MYD88;IRAK1;IRAK4;IRAK3;MAP2K7;BTK;SFTPA2;NOD2	local:n=99;max=3.17;p75=-0.31;p50=-0.32;p25=-0.32	global:n=99;max=4.58;p75=-0.21;p50=-0.22;p25=-0.22
736	WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELLULAR_SENESCENCE	MSIGDB:M40055	MSIGDB	23	5.983520e-07	True	1.322	0.3978	-1.206	1.0000	False	TP53;TNF;EIF2AK4;TDO2	1.0000;0.9950;0.9940;0.9938	TP53;TNF;EIF2AK4;TDO2	TP53;TNF;EIF2AK4;TDO2	local:n=23;max=2.19;p75=-0.46;p50=-0.46;p25=-0.46	global:n=23;max=4.58;p75=-0.21;p50=-0.22;p25=-0.22
737	Caspase Activation	C1159825	GO	15	5.976374e-07	True	1.913	0.2104	1.456	0.0895	False	PIDD1;TNFRSF10B;DIABLO	1.0000;1.0000;0.9995	PIDD1;TNFRSF10B;DIABLO	PIDD1;TNFRSF10B;DIABLO	local:n=15;max=2.00;p75=-0.50;p50=-0.50;p25=-0.50	global:n=15;max=4.56;p75=-0.21;p50=-0.22;p25=-0.22
738	WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY	MSIGDB:M39701	MSIGDB	19	5.975248e-07	True	1.109	0.5404	-1.085	1.0000	False	MAPK1;MYD88;IRAK1;IRAK4;TNF	1.0000;0.9984;0.9975;0.9970;0.9965		MAPK1;MYD88;IRAK1;IRAK4;TNF	local:n=19;max=1.68;p75=0.54;p50=-0.60;p25=-0.60	global:n=19;max=4.58;p75=2.19;p50=-0.22;p25=-0.22
739	WP_TRYPTOPHAN_CATABOLISM_LEADING_TO_NAD_PRODUCTION	MSIGDB:M39752	MSIGDB	16	5.961169e-07	True	2.096	0.1852	-0.858	1.0000	False	TDO2;NMNAT1	1.0000;0.9995	TDO2;NMNAT1	TDO2;NMNAT1	local:n=16;max=2.65;p75=-0.38;p50=-0.38;p25=-0.38	global:n=16;max=4.55;p75=-0.22;p50=-0.22;p25=-0.22
740	WP_MESODERMAL_COMMITMENT_PATHWAY	MSIGDB:M39546	MSIGDB	150	5.960015e-07	True	-3.879	1.0000	-2.062	1.0000	False	JAK2;HNF4A;MACF1;FOXC1;SMAD6;ACVR2B;PRKAR1A;KDM6A;WNT3;ACACA;DNMT3B;TBX6;UBR5;ZNF462;NABP2	1.0000;0.9974;0.9966;0.9965;0.9963;0.9962;0.9962;0.9960;0.9959;0.9958;0.9958;0.9958;0.9957;0.9954;0.9954	JAK2;HNF4A;MACF1;FOXC1;SMAD6;ACVR2B;PRKAR1A;KDM6A;WNT3;ACACA;DNMT3B;TBX6;UBR5;ZNF462;NABP2	JAK2;HNF4A;MACF1;FOXC1;SMAD6;ACVR2B;PRKAR1A;KDM6A;WNT3;ACACA;DNMT3B;TBX6;UBR5;ZNF462;NABP2	local:n=150;max=3.01;p75=-0.33;p50=-0.33;p25=-0.33	global:n=150;max=4.57;p75=-0.22;p50=-0.22;p25=-0.22
741	REACTOME_CREB3_FACTORS_ACTIVATE_GENES	MSIGDB:M27773	MSIGDB	8	5.950046e-07	True	2.351	0.1852	0.876	1.0000	False	CREB3L3;CREB3L1	1.0000;1.0000		CREB3L3;CREB3L1	local:n=8;max=1.73;p75=0.00;p50=-0.58;p25=-0.58	global:n=8;max=4.55;p75=0.98;p50=-0.22;p25=-0.22
742	WP_THE_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING	MSIGDB:M39817	MSIGDB	37	5.946579e-07	True	0.397	0.9208	-2.371	1.0000	False	EMD;ADIPOQ;APC;TLE1;ZMPSTE24	1.0000;0.9997;0.9992;0.9988;0.9984	EMD;ADIPOQ;APC;TLE1;ZMPSTE24	EMD;ADIPOQ;APC;TLE1;ZMPSTE24	local:n=37;max=2.53;p75=-0.39;p50=-0.40;p25=-0.40	global:n=37;max=4.56;p75=-0.21;p50=-0.22;p25=-0.22
